run_id,step,profit,stockout_rate,pricing_accuracy,action_correctness,customer_satisfaction,execution_order,timestamp
continuous_simulation_20251015_102616_initial,1,0.0,0.0,0.7,0.0,3.32,1,2025-10-15 11:18:13.538090
continuous_simulation_20251015_102616_initial,1,513.0,0.0,0.85,0.5555555555555556,3.28,2,2025-10-15 11:28:13.538090
continuous_simulation_20251015_102616_initial,1,1236.0,0.0,0.85,1.0,3.22,3,2025-10-15 11:38:13.538090
continuous_simulation_20251015_102616_initial,1,2208.0,0.3333333333333333,0.85,1.0,3.14,4,2025-10-15 11:48:13.538090
continuous_simulation_20251015_102616_initial,1,3319.96,1.0,0.85,1.0,3.11,5,2025-10-15 11:58:13.538090
continuous_simulation_20251015_102616_initial,1,5398.86,0.42857142857142855,0.85,1.0,3.08,6,2025-10-15 12:08:13.538090
continuous_simulation_20251015_102616_initial,2,0.0,0.0,0.7,0.0,3.32,7,2025-10-15 12:18:13.538090
continuous_simulation_20251015_102616_initial,2,696.0,0.0,0.85,1.0,3.25,8,2025-10-15 12:28:13.538090
continuous_simulation_20251015_102616_initial,2,1929.0,0.09090909090909091,0.85,1.0,3.17,9,2025-10-15 12:38:13.538090
continuous_simulation_20251015_102616_initial,2,2968.4,0.2,0.8,1.0,3.12,10,2025-10-15 12:48:13.538090
continuous_simulation_20251015_102616_initial,2,4000.91,0.5,0.85,1.0,3.09,11,2025-10-15 12:58:13.538090
continuous_simulation_20251015_102616_initial,2,5398.86,0.42857142857142855,0.85,1.0,3.08,12,2025-10-15 13:08:13.538090
continuous_simulation_20251015_102616_initial,3,513.0,0.0,0.85,0.5555555555555556,3.28,13,2025-10-15 13:18:13.538090
continuous_simulation_20251015_102616_initial,3,1236.0,0.0,0.85,1.0,3.22,14,2025-10-15 13:28:13.538090
continuous_simulation_20251015_102616_initial,3,2208.0,0.3333333333333333,0.8,1.0,3.14,15,2025-10-15 13:38:13.538090
continuous_simulation_20251015_102616_initial,3,3319.96,1.0,0.85,1.0,3.11,16,2025-10-15 13:48:13.538090
continuous_simulation_20251015_102616_initial,3,5398.86,0.42857142857142855,0.85,1.0,3.08,17,2025-10-15 13:58:13.538090
continuous_simulation_20251015_102616_initial,4,0.0,0.0,0.85,0.0,3.32,18,2025-10-15 14:08:13.538090
continuous_simulation_20251015_102616_initial,4,696.0,0.0,0.85,1.0,3.25,19,2025-10-15 14:18:13.538090
continuous_simulation_20251015_102616_initial,4,1929.0,0.09090909090909091,0.85,1.0,3.17,20,2025-10-15 14:28:13.538090
continuous_simulation_20251015_102616_initial,4,2968.4,0.2,0.85,1.0,3.12,21,2025-10-15 14:38:13.538090
continuous_simulation_20251015_102616_initial,4,4000.91,0.5,0.85,1.0,3.09,22,2025-10-15 14:48:13.538090
continuous_simulation_20251015_102616_initial,4,5398.86,0.42857142857142855,0.85,1.0,3.08,23,2025-10-15 14:58:13.538090
continuous_simulation_20251015_102616_initial,5,513.0,0.0,0.85,0.6666666666666666,3.28,24,2025-10-15 15:08:13.538090
continuous_simulation_20251015_102616_initial,5,1236.0,0.0,0.85,1.0,3.22,25,2025-10-15 15:18:13.538090
continuous_simulation_20251015_102616_initial,5,2208.0,0.3333333333333333,0.8,1.0,3.14,26,2025-10-15 15:28:13.538090
continuous_simulation_20251015_102616_initial,5,3319.96,1.0,0.85,1.0,3.11,27,2025-10-15 15:38:13.538090
continuous_simulation_20251015_102616_initial,5,5398.86,0.42857142857142855,0.85,1.0,3.08,28,2025-10-15 15:48:13.538090
continuous_simulation_20251015_102616_initial,6,564.3,0.0,0.85,0.3333333333333333,3.28,29,2025-10-15 15:58:13.538090
continuous_simulation_20251015_102616_initial,6,696.0,0.0,0.85,1.0,3.23,30,2025-10-15 16:08:13.538090
continuous_simulation_20251015_102616_initial,6,1929.0,0.3333333333333333,0.85,1.0,3.16,31,2025-10-15 16:18:13.538090
continuous_simulation_20251015_102616_initial,6,2968.4,0.5,0.85,1.0,3.12,32,2025-10-15 16:28:13.538090
continuous_simulation_20251015_102616_initial,6,4000.91,0.42857142857142855,0.85,1.0,3.08,33,2025-10-15 16:38:13.538090
continuous_simulation_20251015_102616_initial,6,5398.86,0.42857142857142855,0.85,1.0,3.08,34,2025-10-15 16:48:13.538090
continuous_simulation_20251015_102616_initial,7,513.0,0.0,0.85,1.0,3.27,35,2025-10-15 16:58:13.538090
continuous_simulation_20251015_102616_initial,7,1236.0,0.0,0.85,1.0,3.18,36,2025-10-15 17:08:13.538090
continuous_simulation_20251015_102616_initial,7,2208.0,0.2,0.8,1.0,3.14,37,2025-10-15 17:18:13.538090
continuous_simulation_20251015_102616_initial,7,3319.96,0.3333333333333333,0.85,1.0,3.09,38,2025-10-15 17:28:13.538090
continuous_simulation_20251015_102616_initial,7,5398.86,0.42857142857142855,0.85,1.0,3.08,39,2025-10-15 17:38:13.538090
continuous_simulation_20251015_102616_initial,8,513.0,0.0,0.85,0.5555555555555556,3.28,40,2025-10-15 17:48:13.538090
continuous_simulation_20251015_102616_initial,8,1236.0,0.0,0.85,1.0,3.23,41,2025-10-15 17:58:13.538090
continuous_simulation_20251015_102616_initial,8,2208.0,0.3333333333333333,0.85,1.0,3.16,42,2025-10-15 18:08:13.538090
continuous_simulation_20251015_102616_initial,8,3319.96,0.5,0.85,1.0,3.12,43,2025-10-15 18:18:13.538090
continuous_simulation_20251015_102616_initial,8,5398.86,0.42857142857142855,0.85,1.0,3.08,44,2025-10-15 18:28:13.538090
continuous_simulation_20251015_102616_initial,8,6754.5,0.42857142857142855,0.85,1.0,3.08,45,2025-10-15 18:38:13.538090
continuous_simulation_20251015_102616_initial,9,696.0,0.0,0.85,1.0,3.27,46,2025-10-15 18:48:13.538090
continuous_simulation_20251015_102616_initial,9,1929.0,0.0,0.85,1.0,3.18,47,2025-10-15 18:58:13.538090
continuous_simulation_20251015_102616_initial,9,2968.4,0.2,0.8,1.0,3.14,48,2025-10-15 19:08:13.538090
continuous_simulation_20251015_102616_initial,9,4000.91,0.3333333333333333,0.85,1.0,3.09,49,2025-10-15 19:18:13.538090
