run_id,step,profit,stockout_rate,pricing_accuracy,action_correctness,customer_satisfaction,created_at,date,time,timestamp
037b0d87-e3b9-48cc-952b-79c6bce7bd8b,1,16550.0,0.0,0.7,0.0,3.13,2025-01-01,2025-01-01,00:00:00,0
037b0d87-e3b9-48cc-952b-79c6bce7bd8b,2,16550.0,0.0,0.7,0.0,3.13,2025-01-01,2025-01-01,00:00:00,1
037b0d87-e3b9-48cc-952b-79c6bce7bd8b,3,16550.0,0.0,0.8,0.2222222222222222,3.13,2025-01-01,2025-01-01,00:00:00,2
037b0d87-e3b9-48cc-952b-79c6bce7bd8b,4,16100.0,0.0,0.8,0.7777777777777778,3.13,2025-01-01,2025-01-01,00:00:00,3
037b0d87-e3b9-48cc-952b-79c6bce7bd8b,5,16100.0,0.0,0.8,1.0,3.13,2025-01-01,2025-01-01,00:00:00,4
037b0d87-e3b9-48cc-952b-79c6bce7bd8b,6,155.04,0.5,0.8,1.0,3.07,2025-01-01,2025-01-01,00:00:00,5
037b0d87-e3b9-48cc-952b-79c6bce7bd8b,8,12620.0,0.5,0.8,1.0,3.07,2025-01-01,2025-01-01,00:00:00,6
13c5e8f4-1f5b-4e32-8200-1287cf88bad2,1,16550.0,0.0,0.7,0.0,3.13,2025-01-01,2025-01-01,00:00:00,7
13c5e8f4-1f5b-4e32-8200-1287cf88bad2,2,16550.0,0.0,0.7,0.0,3.13,2025-01-01,2025-01-01,00:00:00,8
13c5e8f4-1f5b-4e32-8200-1287cf88bad2,3,16550.0,0.0,0.8,0.3333333333333333,3.13,2025-01-01,2025-01-01,00:00:00,9
13c5e8f4-1f5b-4e32-8200-1287cf88bad2,4,17700.0,0.0,0.8,0.6666666666666666,3.13,2025-01-01,2025-01-01,00:00:00,10
13c5e8f4-1f5b-4e32-8200-1287cf88bad2,5,17700.0,0.0,0.8,0.8888888888888888,3.13,2025-01-01,2025-01-01,00:00:00,11
13c5e8f4-1f5b-4e32-8200-1287cf88bad2,6,284.8,0.2,0.8,0.8888888888888888,3.06,2025-01-01,2025-01-01,00:00:00,12
13c5e8f4-1f5b-4e32-8200-1287cf88bad2,8,12750.8,0.2,0.8,1.0,3.06,2025-01-01,2025-01-01,00:00:00,13
13c5e8f4-1f5b-4e32-8200-1287cf88bad2,9,12750.8,0.2,0.8,1.0,3.06,2025-01-01,2025-01-01,00:00:00,14
1e3fc463-b9bf-4a8e-b9f7-3b9cfdfe4554,1,304000.0,0.0,0.7,0.0,4.26,2025-01-01,2025-01-01,00:00:00,15
1e3fc463-b9bf-4a8e-b9f7-3b9cfdfe4554,2,304000.0,0.0,0.7,0.0,4.26,2025-01-01,2025-01-01,00:00:00,16
1e3fc463-b9bf-4a8e-b9f7-3b9cfdfe4554,3,304000.0,0.0,0.8,0.2222222222222222,4.26,2025-01-01,2025-01-01,00:00:00,17
1e3fc463-b9bf-4a8e-b9f7-3b9cfdfe4554,4,304000.0,0.0,0.8,0.4444444444444444,4.26,2025-01-01,2025-01-01,00:00:00,18
1e3fc463-b9bf-4a8e-b9f7-3b9cfdfe4554,5,304000.0,0.0,0.8,0.6666666666666666,4.26,2025-01-01,2025-01-01,00:00:00,19
1e3fc463-b9bf-4a8e-b9f7-3b9cfdfe4554,6,262.4,0.0,0.8,1.0,3.3,2025-01-01,2025-01-01,00:00:00,20
1e3fc463-b9bf-4a8e-b9f7-3b9cfdfe4554,7,262.4,0.0,0.8,1.0,3.3,2025-01-01,2025-01-01,00:00:00,21
1e3fc463-b9bf-4a8e-b9f7-3b9cfdfe4554,8,304262.4,0.0,0.8,1.0,3.3,2025-01-01,2025-01-01,00:00:00,22
1e3fc463-b9bf-4a8e-b9f7-3b9cfdfe4554,9,304262.4,0.0,0.8,1.0,3.3,2025-01-01,2025-01-01,00:00:00,23
1f00995d-ef18-4365-8172-3a50fc899143,1,12500.0,0.0,0.7,0.0,3.13,2025-01-01,2025-01-01,00:00:00,24
1f00995d-ef18-4365-8172-3a50fc899143,2,12500.0,0.0,0.7,0.0,3.13,2025-01-01,2025-01-01,00:00:00,25
1f00995d-ef18-4365-8172-3a50fc899143,3,12500.0,0.0,0.8,0.2222222222222222,3.13,2025-01-01,2025-01-01,00:00:00,26
1f00995d-ef18-4365-8172-3a50fc899143,4,12500.0,0.0,0.8,0.5555555555555556,3.13,2025-01-01,2025-01-01,00:00:00,27
1f00995d-ef18-4365-8172-3a50fc899143,5,12500.0,0.0,0.8,0.8888888888888888,3.13,2025-01-01,2025-01-01,00:00:00,28
1f00995d-ef18-4365-8172-3a50fc899143,6,251.0,0.2857142857142857,0.8,1.0,3.06,2025-01-01,2025-01-01,00:00:00,29
1f00995d-ef18-4365-8172-3a50fc899143,7,251.0,0.2857142857142857,0.8,1.0,3.06,2025-01-01,2025-01-01,00:00:00,30
1f00995d-ef18-4365-8172-3a50fc899143,8,12801.0,0.2857142857142857,0.8,1.0,3.06,2025-01-01,2025-01-01,00:00:00,31
1f00995d-ef18-4365-8172-3a50fc899143,9,12801.0,0.2857142857142857,0.8,1.0,3.06,2025-01-01,2025-01-01,00:00:00,32
24c0a2b7-223c-4e2d-a99a-728cea873972,1,16550.0,0.0,0.7,0.0,3.13,2025-01-01,2025-01-01,00:00:00,33
24c0a2b7-223c-4e2d-a99a-728cea873972,2,16550.0,0.0,0.7,0.0,3.13,2025-01-01,2025-01-01,00:00:00,34
24c0a2b7-223c-4e2d-a99a-728cea873972,3,16950.0,0.0,0.85,0.2222222222222222,3.13,2025-01-01,2025-01-01,00:00:00,35
24c0a2b7-223c-4e2d-a99a-728cea873972,4,16950.0,0.0,0.85,0.7777777777777778,3.13,2025-01-01,2025-01-01,00:00:00,36
24c0a2b7-223c-4e2d-a99a-728cea873972,5,16950.0,0.0,0.85,1.0,3.13,2025-01-01,2025-01-01,00:00:00,37
24c0a2b7-223c-4e2d-a99a-728cea873972,6,479.96,0.2222222222222222,0.85,1.0,3.05,2025-01-01,2025-01-01,00:00:00,38
24c0a2b7-223c-4e2d-a99a-728cea873972,7,479.96,0.2222222222222222,0.85,1.0,3.05,2025-01-01,2025-01-01,00:00:00,39
24c0a2b7-223c-4e2d-a99a-728cea873972,8,12906.42,0.2222222222222222,0.85,1.0,3.05,2025-01-01,2025-01-01,00:00:00,40
24c0a2b7-223c-4e2d-a99a-728cea873972,9,12906.42,0.2222222222222222,0.85,1.0,3.05,2025-01-01,2025-01-01,00:00:00,41
277a206b-9f2c-4998-8ec0-95e931fbd0f7,1,304000.0,0.0,0.7,0.0,4.26,2025-01-01,2025-01-01,00:00:00,42
277a206b-9f2c-4998-8ec0-95e931fbd0f7,2,304000.0,0.0,0.7,0.0,4.26,2025-01-01,2025-01-01,00:00:00,43
277a206b-9f2c-4998-8ec0-95e931fbd0f7,3,304000.0,0.0,0.8,0.2222222222222222,4.26,2025-01-01,2025-01-01,00:00:00,44
277a206b-9f2c-4998-8ec0-95e931fbd0f7,4,304000.0,0.0,0.8,0.4444444444444444,4.26,2025-01-01,2025-01-01,00:00:00,45
277a206b-9f2c-4998-8ec0-95e931fbd0f7,5,304000.0,0.0,0.8,0.6666666666666666,4.26,2025-01-01,2025-01-01,00:00:00,46
277a206b-9f2c-4998-8ec0-95e931fbd0f7,6,128.0,0.0,0.8,1.0,3.3,2025-01-01,2025-01-01,00:00:00,47
277a206b-9f2c-4998-8ec0-95e931fbd0f7,7,128.0,0.0,0.8,1.0,3.3,2025-01-01,2025-01-01,00:00:00,48
277a206b-9f2c-4998-8ec0-95e931fbd0f7,8,304128.0,0.0,0.8,1.0,3.3,2025-01-01,2025-01-01,00:00:00,49
277a206b-9f2c-4998-8ec0-95e931fbd0f7,9,304128.0,0.0,0.8,1.0,3.3,2025-01-01,2025-01-01,00:00:00,50
2a956b3c-3a24-4639-ae3f-eff25a0ea5a7,1,16550.0,0.0,0.7,0.0,3.13,2025-01-01,2025-01-01,00:00:00,51
2a956b3c-3a24-4639-ae3f-eff25a0ea5a7,2,16550.0,0.0,0.7,0.0,3.13,2025-01-01,2025-01-01,00:00:00,52
2a956b3c-3a24-4639-ae3f-eff25a0ea5a7,3,16550.0,0.0,0.8,0.2222222222222222,3.13,2025-01-01,2025-01-01,00:00:00,53
2a956b3c-3a24-4639-ae3f-eff25a0ea5a7,4,16950.0,0.0,0.8,0.6666666666666666,3.13,2025-01-01,2025-01-01,00:00:00,54
