run_id,step,profit,stockout_rate,pricing_accuracy,action_correctness,customer_satisfaction,execution_order,timestamp
continuous_simulation_20251009_095623,8,13410.56,0.0,0.8,1.0,3.19,20,2025-10-10 18:18:49.677643
continuous_simulation_20251009_095623_initial,2,12897.71,0.0,0.85,1.0,3.2,21,2025-10-10 18:48:49.677643
continuous_simulation_20251009_095623_initial,6,12897.71,0.0,0.8,1.0,3.19,22,2025-10-10 19:18:49.677643
continuous_simulation_20251009_100640,1,12778.01,0.0,0.8,1.0,3.23,23,2025-10-10 19:48:49.677643
continuous_simulation_20251009_100640,5,3815.0,0.0,0.8,0.3333333333333333,3.33,24,2025-10-10 20:18:49.677643
continuous_simulation_20251009_100640,8,11710.32,0.0,0.8,0.8888888888888888,3.32,25,2025-10-10 20:48:49.677643
continuous_simulation_20251009_100640_initial,2,3850.0,0.0,0.7,0.0,3.33,26,2025-10-10 21:18:49.677643
continuous_simulation_20251009_100640_initial,6,49.05,0.0,0.8,0.6666666666666666,3.32,27,2025-10-10 21:48:49.677643
continuous_simulation_20251009_102104,1,11888.41,0.0,0.8,1.0,3.27,28,2025-10-10 22:18:49.677643
continuous_simulation_20251009_102104_initial,2,11888.41,0.0,0.8,1.0,3.27,29,2025-10-10 22:48:49.677643
continuous_simulation_20251009_105610,2,12758.79,0.0,0.8,1.0,3.21,30,2025-10-10 23:18:49.677643
continuous_simulation_20251009_105610,5,12758.79,0.0,0.8,1.0,3.21,31,2025-10-10 23:48:49.677643
continuous_simulation_20251009_105610,8,13271.57,0.0,0.8,1.0,3.2,32,2025-10-11 00:18:49.677643
continuous_simulation_20251009_105610_initial,2,13271.57,0.25,0.8,1.0,3.18,33,2025-10-11 00:48:49.677643
continuous_simulation_20251009_105610_initial,6,13271.57,0.3333333333333333,0.8,1.0,3.18,34,2025-10-11 01:18:49.677643
continuous_simulation_20251009_133300,1,13159.61,0.0,0.8,1.0,3.21,35,2025-10-11 01:48:49.677643
continuous_simulation_20251009_133300,5,3733.33,0.0,0.8,0.5555555555555556,3.33,36,2025-10-11 02:18:49.677643
continuous_simulation_20251009_133300,8,12446.07,0.0,0.8,1.0,3.27,37,2025-10-11 02:48:49.677643
continuous_simulation_20251009_133300_initial,2,11938.34,0.0,0.8,1.0,3.29,38,2025-10-11 03:18:49.677643
continuous_simulation_20251009_133300_initial,6,11938.34,0.0,0.8,1.0,3.27,39,2025-10-11 03:48:49.677643
continuous_simulation_20251009_144136,1,11997.29,0.0,0.8,0.8888888888888888,3.28,40,2025-10-11 04:18:49.677643
continuous_simulation_20251009_144136,4,12538.54,0.0,0.8,1.0,3.24,41,2025-10-11 04:48:49.677643
continuous_simulation_20251009_144136,7,13018.19,0.0,0.8,1.0,3.2,42,2025-10-11 05:18:49.677643
continuous_simulation_20251009_144136_initial,1,13018.19,0.0,0.8,1.0,3.21,43,2025-10-11 05:48:49.677643
continuous_simulation_20251009_144136_initial,4,13018.19,0.0,0.8,1.0,3.21,44,2025-10-11 06:18:49.677643
continuous_simulation_20251009_144136_initial,9,13372.34,0.0,0.8,1.0,3.2,45,2025-10-11 06:48:49.677643
continuous_simulation_20251009_163501,8,12560.77,0.0,0.8,1.0,3.26,46,2025-10-11 07:18:49.677643
continuous_simulation_20251009_163501_initial,9,11804.0,0.0,0.85,0.7777777777777778,3.31,47,2025-10-11 07:48:49.677643
continuous_simulation_20251009_164156,8,12041.92,0.0,0.8,0.8888888888888888,3.29,48,2025-10-11 08:18:49.677643
continuous_simulation_20251009_164156_initial,8,12566.84,0.0,0.8,1.0,3.26,49,2025-10-11 08:48:49.677643
continuous_simulation_20251009_164459,7,11918.86,0.0,0.8,1.0,3.28,50,2025-10-11 09:18:49.677643
continuous_simulation_20251009_164459_initial,8,12272.22,0.0,0.8,1.0,3.28,51,2025-10-11 09:48:49.677643
continuous_simulation_20251009_172500,7,132.0,0.0,0.8,1.0,3.29,52,2025-10-11 10:18:49.677643
continuous_simulation_20251009_172500_initial,8,132.0,0.0,0.85,1.0,3.31,53,2025-10-11 10:48:49.677643
continuous_simulation_20251009_173903,7,275.52,0.0,0.8,0.6666666666666666,3.3,54,2025-10-11 11:18:49.677643
continuous_simulation_20251009_173903_initial,8,252.0,0.0,0.8,0.7777777777777778,3.3,55,2025-10-11 11:48:49.677643
continuous_simulation_20251009_174511,8,1065.0,0.0,0.85,1.0,3.24,56,2025-10-11 12:18:49.677643
continuous_simulation_20251009_174511_initial,8,306.0,0.0,0.85,0.5555555555555556,3.3,57,2025-10-11 12:48:49.677643
continuous_simulation_20251009_175947,8,432.0,0.0,0.85,1.0,3.29,58,2025-10-11 13:18:49.677643
continuous_simulation_20251009_175947_initial,8,54.0,0.0,0.85,0.5555555555555556,3.32,59,2025-10-11 13:48:49.677643
continuous_simulation_20251009_182011,3,1671.0,0.14285714285714285,0.85,1.0,3.18,60,2025-10-11 14:18:49.677643
continuous_simulation_20251009_182011,7,219.0,0.0,0.85,1.0,3.28,61,2025-10-11 14:48:49.677643
continuous_simulation_20251009_182011_initial,1,219.0,0.0,0.85,0.5555555555555556,3.28,62,2025-10-11 15:18:49.677643
continuous_simulation_20251009_182011_initial,4,219.0,0.0,0.85,0.5555555555555556,3.28,63,2025-10-11 15:48:49.677643
continuous_simulation_20251009_182011_initial,8,1086.0,0.0,0.85,1.0,3.24,64,2025-10-11 16:18:49.677643
continuous_simulation_20251009_223343,6,354.0,0.0,0.85,0.8888888888888888,3.26,65,2025-10-11 16:48:49.677643
continuous_simulation_20251009_223343_initial,6,389.4,0.0,0.85,0.3333333333333333,3.29,66,2025-10-11 17:18:49.677643
continuous_simulation_20251009_223945,6,264.0,0.0,0.85,0.8888888888888888,3.27,67,2025-10-11 17:48:49.677643
continuous_simulation_20251009_223945_initial,6,290.4,0.0,0.85,0.3333333333333333,3.3,68,2025-10-11 18:18:49.677643
continuous_simulation_20251009_224703,7,326.7,0.0,0.85,0.4444444444444444,3.3,69,2025-10-11 18:48:49.677643
continuous_simulation_20251009_224703_initial,6,297.0,0.0,0.85,0.8888888888888888,3.28,70,2025-10-11 19:18:49.677643
continuous_simulation_20251009_225425,7,161.7,0.0,0.85,0.4444444444444444,3.31,71,2025-10-11 19:48:49.677643
continuous_simulation_20251009_225425_initial,6,147.0,0.0,0.85,0.8888888888888888,3.29,72,2025-10-11 20:18:49.677643
continuous_simulation_20251009_225446,7,117.0,0.0,0.85,1.0,3.29,73,2025-10-11 20:48:49.677643
continuous_simulation_20251009_225446_initial,6,117.0,0.0,0.85,1.0,3.29,74,2025-10-11 21:18:49.677643
continuous_simulation_20251009_230820,7,158.4,0.0,0.85,0.4444444444444444,3.31,75,2025-10-11 21:48:49.677643
continuous_simulation_20251009_230820_initial,5,144.0,0.0,0.85,0.8888888888888888,3.3,76,2025-10-11 22:18:49.677643
continuous_simulation_20251010_064318,6,151.8,0.0,0.85,0.3333333333333333,3.31,77,2025-10-11 22:48:49.677643
continuous_simulation_20251010_064318_initial,5,0.0,0.0,0.85,0.0,3.32,78,2025-10-11 23:18:49.677643
continuous_simulation_20251010_064708,5,408.0,0.0,0.85,0.7777777777777778,3.27,79,2025-10-11 23:48:49.677643
continuous_simulation_20251010_064708_initial,4,0.0,0.0,0.85,0.0,3.32,80,2025-10-12 00:18:49.677643
continuous_simulation_20251010_070750,3,228.0,0.0,0.85,0.5555555555555556,3.29,81,2025-10-12 00:48:49.677643
continuous_simulation_20251010_070750_initial,3,228.0,0.0,0.85,0.5555555555555556,3.29,82,2025-10-12 01:18:49.677643
continuous_simulation_20251010_071738,1,768.0,0.0,0.85,1.0,3.25,83,2025-10-12 01:48:49.677643
continuous_simulation_20251010_071738,5,183.0,0.0,0.85,0.5555555555555556,3.29,84,2025-10-12 02:18:49.677643
continuous_simulation_20251010_071738,8,768.0,0.0,0.85,1.0,3.27,85,2025-10-12 02:48:49.677643
continuous_simulation_20251010_071738_initial,2,183.0,0.0,0.85,0.5555555555555556,3.29,86,2025-10-12 03:18:49.677643
continuous_simulation_20251010_071738_initial,5,768.0,0.0,0.85,1.0,3.25,87,2025-10-12 03:48:49.677643
continuous_simulation_20251010_071738_initial,8,1167.0,0.0,0.85,1.0,3.24,88,2025-10-12 04:18:49.677643
continuous_simulation_20251010_081337,1,2867.52,0.6666666666666666,0.85,1.0,3.1,89,2025-10-12 04:48:49.677643
continuous_simulation_20251010_081337,3,1614.0,0.0,0.85,1.0,3.2,90,2025-10-12 05:18:49.677643
continuous_simulation_20251010_081337,5,609.0,0.0,0.85,1.0,3.27,91,2025-10-12 05:48:49.677643
continuous_simulation_20251010_081337,6,2867.52,0.4,0.85,1.0,3.09,92,2025-10-12 06:18:49.677643
continuous_simulation_20251010_081337,8,969.0,0.0,0.85,1.0,3.25,93,2025-10-12 06:48:49.677643
continuous_simulation_20251010_081337,9,3932.4,0.4,0.85,1.0,3.09,94,2025-10-12 07:18:49.677643
continuous_simulation_20251010_081337_initial,2,609.0,0.0,0.85,1.0,3.27,95,2025-10-12 07:48:49.677643
continuous_simulation_20251010_081337_initial,3,3932.4,0.4,0.85,1.0,3.09,96,2025-10-12 08:18:49.677643
continuous_simulation_20251010_081337_initial,5,969.0,0.0,0.85,1.0,3.23,97,2025-10-12 08:48:49.677643
continuous_simulation_20251010_081337_initial,6,3932.4,0.3333333333333333,0.85,1.0,3.07,98,2025-10-12 09:18:49.677643
continuous_simulation_20251010_081337_initial,8,1614.0,0.0,0.85,1.0,3.21,99,2025-10-12 09:48:49.677643
continuous_simulation_20251010_081337_initial,9,5150.97,0.6666666666666666,0.85,1.0,3.05,100,2025-10-12 10:18:49.677643
