run_id,step,profit,stockout_rate,pricing_accuracy,action_correctness,customer_satisfaction,execution_order,timestamp
continuous_simulation_20251009_090645_day1,1,3826.67,0.0,0.7,0.0,3.06,1,2025-10-10 08:48:49.677643
continuous_simulation_20251009_090916_day1,1,3826.67,0.0,0.7,0.0,3.06,2,2025-10-10 09:18:49.677643
continuous_simulation_20251009_090916_day2,8,11666.67,0.14285714285714285,0.8,1.0,3.06,3,2025-10-10 09:48:49.677643
continuous_simulation_20251009_090916_day4,5,11666.67,0.14285714285714285,0.8,1.0,3.06,4,2025-10-10 10:18:49.677643
continuous_simulation_20251009_090916_initial,1,11666.67,0.25,0.8,1.0,3.06,5,2025-10-10 10:48:49.677643
continuous_simulation_20251009_090916_initial,4,11666.67,0.14285714285714285,0.8,1.0,3.06,6,2025-10-10 11:18:49.677643
continuous_simulation_20251009_090916_initial,9,11666.67,0.14285714285714285,0.8,1.0,3.06,7,2025-10-10 11:48:49.677643
continuous_simulation_20251009_093820_day2,5,11922.37,0.6666666666666666,0.8,1.0,3.02,8,2025-10-10 12:18:49.677643
continuous_simulation_20251009_093820_day4,2,12387.47,0.8571428571428571,0.8,1.0,3.0,9,2025-10-10 12:48:49.677643
continuous_simulation_20251009_093820_day5,9,12387.47,1.0,0.8,1.0,3.0,10,2025-10-10 13:18:49.677643
continuous_simulation_20251009_093820_initial,3,12387.47,0.6666666666666666,0.8,1.0,3.0,11,2025-10-10 13:48:49.677643
continuous_simulation_20251009_093820_initial,8,12387.47,1.0,0.8,1.0,3.0,12,2025-10-10 14:18:49.677643
continuous_simulation_20251009_095122_day2,2,11758.92,0.0,0.8,0.7777777777777778,3.29,13,2025-10-10 14:48:49.677643
continuous_simulation_20251009_095122_day3,8,12626.05,0.0,0.8,1.0,3.25,14,2025-10-10 15:18:49.677643
continuous_simulation_20251009_095122_day5,6,13125.47,0.3333333333333333,0.8,1.0,3.2,15,2025-10-10 15:48:49.677643
continuous_simulation_20251009_095122_initial,3,11758.92,0.0,0.8,1.0,3.29,16,2025-10-10 16:18:49.677643
continuous_simulation_20251009_095122_initial,8,12255.0,0.0,0.8,1.0,3.28,17,2025-10-10 16:48:49.677643
continuous_simulation_20251009_095623,2,12417.71,0.0,0.8,1.0,3.24,18,2025-10-10 17:18:49.677643
continuous_simulation_20251009_095623,5,12897.71,0.0,0.8,1.0,3.2,19,2025-10-10 17:48:49.677643
